Game Title,Genre,Sub-Genre,Key Mechanics,Key Dynamics,Key Aesthetics,Misc Game Characteristics,PEGI Rating,Gameplay Summary,Major Game Design Elements,Developer,Publisher
Space Invaders,Action,Shoot 'em up,Shooting Mechanics: Player controls a cannon to shoot alien invaders; Enemy Waves; Limited shields protect the player; Increasing Speed of aliens as fewer remain; Single Life Mechanic with Limited lives per game,Risk vs. Reward where Players must balance between taking shots and using cover; Progressive Difficulty; High Score Chasing; The game ends when all lives are lost,Classic Retro Graphics;. Monochromatic Display; Arcade Sounds; Simplistic UI,Iconic Gameplay; Arcade Classic that popularized arcade gaming; Endless Mode; Single-Player Focus,PEGI 7,Space Invaders is a classic arcade game where players defend Earth from waves of descending alien invaders by shooting them down with a laser cannon. The game progressively increases in difficulty and challenges players to beat high scores.,Iconic shoot 'em up mechanics with progressive difficulty; simple but addictive gameplay,Taito,Taito
Edge,Puzzle,Platform Puzzle,Cube Control where Players move a cube through different levels; Precision Movement required for navigating narrow pathways and edges; Momentum Physics; Platforming Challenges: Navigate between platforms and avoid obstacles; Minimalistic movement mechanics.,Discover hidden paths and shortcuts; Timed Levels; Gradually increasing Difficulty as you progress; Risk and Reward for fast movement,Minimalistic Graphics; Retro-Futuristic Soundtrack; Neon Lighting; Geometric Aesthetics,Mobile Compatibility; Touch Controls; Compact Level Design; Focused purely on puzzle-solving; Does not involve any combat,PEGI 3,"Edge is a minimalist platform-puzzle game where players control a cube and navigate it through complex geometric levels, using momentum and precision to avoid falling and complete challenges.",Puzzle-solving through precise movements and momentum-based mechanics.,Mobigame,Two Tribes Publishing
Unpossible,Action,Endless Runner,Speed-Based Control to navigate a futuristic pathway while avoiding obstacles; Touch/Accelerometer Controls with simple swipe or tilt inputs; Levels become increasingly difficult and randomized; Requires fast reactions and quick reflexes to survive; Leaderboards,Increasing Difficulty; Survival Mechanics where players must avoid crashing to keep playing; Replayability; Short Play Sessions designed for quick but intense gameplay sessions,Futuristic Setting; Minimalistic Art; Dynamic Camera Angles provide intense visual feedback when navigating at high speeds; Sci-fi Soundtrack,Cross-Platform; Easy-to-learn but hard-to-master mechanics; Short Bursts of Gameplay which is ideal for quick gaming sessions.,PEGI 3,"Unpossible is an endless runner where players guide a vessel through an ever-changing futuristic track, avoiding obstacles while progressively increasing their speed and reflexes to survive.",Reflex-based endless runner with randomized challenges and fast-paced action,Acceleroto,Acceleroto
L.A. Noire,Action-Adventure,Detective/Crime,"Interrogation Mechanics where players solve cases by questioning witnesses and suspects; Explore crime scenes for clues; Includes Action Elements like shootouts, chases, and combat; Dialogue Choices: Branching dialogue impacts case outcomes; Open World where player has to explore a large, detailed version of 1940s Los Angeles",Narrative-Driven; Moral Decision-Making where players can affect the course of investigations based on how they interrogate suspects; Immersive Atmosphere includes realistic city with authentic period details; Slow-Paced Action as it mixes slower detective work with bursts of action.,"Film Noir Aesthetic with black-and-white, moody atmosphere reminiscent of 1940s detective films; Authentic 1940s Setting with period-specific cars, buildings, and fashion; Facial Animation Tech: Revolutionary MotionScan technology for lifelike expressions; Cinematic Presentation","Realistic Crime Solving where cases are based on real historical crimes; Unique Blend of Genres like investigation, open-world, and action-adventure; MotionScan Tech; First game to use revolutionary facial animation tech",PEGI 18,"L.A. Noire is an open-world detective game set in 1940s Los Angeles, where players solve crimes through interrogation, investigation, and action sequences, all while navigating moral dilemmas.","Immersive, narrative-driven detective gameplay with period-accurate open-world exploration",Team Bondi,Rockstar Games
Need for Speed: Carbon,Racing,Street Racing,"Drift Mechanics in canyon races; Crew System where players form a team with different abilities (blockers, drafters, scouts); Car Customization like Deep tuning and visual customization of vehicles; Canyon Duels include Intense 1v1 downhill races; Police Pursuits where players evade law enforcement while racing",High-Speed Racing with tight turns; Team-Based Racing where players work with AI teammates in races; Higher risks in canyon duels lead to greater rewards; Free-roam Exploration across an open city at night,Nighttime Setting; Neon Aesthetic; Features a cinematic and dramatic storyline about rival crews; Realistic Car Models with licensed vehicles and attention to detail in design.,Unique canyon duels that push players' driving skills to the limit; Focus on Drifting emphasizes on drift-heavy racing; First game to introduce a team-based racing dynamic; Continuation of Storyline makes it a direct sequel to Need for Speed: Most Wanted giving closure to players.,PEGI 12,"Need for Speed: Carbon is a street racing game focused on drift mechanics, team-based races, and high-stakes canyon duels, with police pursuits and deep car customization in an open-world environment.","High-octane street racing with an emphasis on drifting, teamwork, and customization.",EA Black Box,Electronic Arts
Mountain Goat Mountain,Platformer,Endless Climber,"Simple tap to move mechanics; Vertical Climbing where players must scale a mountain while avoiding obstacles; Randomly Generated Terrain where no two climbs are the same; Hazards and Obstacles like falling rocks, rivers, and other challenges; Different Unlockable Goats with unique traits.	","Score-Based; Replayability with Endless gameplay with new challenges each run; Quick, Arcade Sessions; Risk and Reward for balancing between fast climbing and avoiding hazards.","Colorful, Cartoonish Graphics; Cute Character Design for Goats with humorous, unique appearances; Whimsical Soundtrack; Vibrant Mountain Settings with diverse environments like grassy, icy, and desert areas",Collecting different goats offers varied playstyles; Mobile Optimized; Casual Fun,PEGI 3,"Mountain Goat Mountain is a casual endless platformer where players guide goats up perilous mountains, avoiding hazards while collecting points and unlocking new characters.",Quick arcade-style platformer with colorful aesthetics and endlessly replayable gameplay,Zynga,Zynga
America's Army: Proving Grounds,FPS,Military Simulation,"Emphasis on teamwork and real military tactics; Team-Based Combat; Cooperative gameplay where strategy and communication are key; Class System where players choose different roles (medics, riflemen, etc.); Objective-Based Missions; Realistic Weaponry like Authentic firearms and gear","Tactical Combat which encourages slow, methodical gameplay; Teamwork; Risk Management for Decision-making between completing objectives and protecting team members; Challenging Missions",Realistic Graphics with Authentic military settings and weapon models; Authentic Sound Design; Serious Military Tone as it was designed as a recruitment tool for the U.S. Army; Immersive Environments with detailed battlegrounds based on real military operations.,Free-to-Play; Military Simulation; Educational and provides insight into real military strategies and teamwork.,PEGI 16,"America's Army: Proving Grounds is a tactical military shooter designed to simulate real-world military operations, focusing on team-based combat, strategy, and completing objectives.","Tactical military simulation with an emphasis on realism, teamwork, and authentic military scenarios",U.S. Army,U.S. Army
Sneak King,Action,Stealth,Stealth Mechanics where players sneak up on unsuspecting people to deliver food; Surprise Element where Players are rewarded for surprising NPCs with food; Simple Controls; Mission-Based gameplay with different challenges in various levels; Timer-Based Gameplay,Stealth-Based Challenges;  Humor Dynamics with Light-hearted gameplay based on the absurd premise of surprising NPCs with food; Quick Progression; Risk and Reward,"Quirky, Humorous Style; Cartoonish Visuals; Bright, Playful Color Palette; Fast-Paced Music",Marketing Tie-In where it was promoted as part of Burger King's ad campaign; Limited Release; Humorous Concept of Delivering food stealthily,PEGI 3,"Sneak King is a quirky stealth-action game where the player, as the Burger King, sneaks around to deliver fast food to unsuspecting people in different levels.",Unique stealth mechanics combined with a marketing concept; Humorous and light-hearted stealth-action game,Blitz Arcade,King Games
Tom Clancy's Rainbow Six: Vegas 2,FPS,Tactical Shooter,Tactical Shooter Mechanics with a strategy-focused team-based shooter; Use cover and stealth to gain the upper hand; Squad-Based Gameplay where players Issue orders to AI-controlled teammates; Realistic Weaponry; Cooperative and competitive multiplayer modes.,"Squad Management; Pacing and Strategy that encourages methodical, slower-paced gameplay rather than run-and-gun; Risk and Reward for careful planning and positioning determine success; Multiplayer Competitiveness with highly tactical multiplayer modes, focusing on team coordination.","Realistic Visuals with True-to-life depictions of weapons, characters, and environments; Authentic City Environments of game set in Las Vegas with detailed urban locales; Tactical Serious Military Aesthetic; Tension-Building Soundtrack",Sequel to Rainbow Six Vegas; Extensive Multiplayer Modes; Tactical Depth as it is one of the most strategic shooters available,PEGI 16,"Tom Clancy's Rainbow Six: Vegas 2 is a tactical shooter that combines team-based, strategy-focused gameplay with realistic firearms and immersive urban environments.","Tactical, squad-based shooter with a mix of strategic planning and intense action sequences",Ubisoft Montreal,Ubisoft
Unreal Tournament 3: Black Edition,FPS,Arena Shooter,"Fast-Paced Combat with movement-based, reflex-intensive gunplay; Variety of Weapons including futuristic weapons with different playstyles; Vehicle Warfare; Core mechanics centered around competitive multiplayer modes; Map Variety with many arenas with varied layouts and verticality",Emphasizes cooperative team-based strategies in modes like Capture the Fla; Multiplayer Competitiveness; Rewards aggressive playstyles and offensive gameplay; High-Speed Movement,"Futuristic, Sci-Fi Setting; Colorful, Detailed Maps; Sound Design for High-impact weapon sounds and intense battle music.",Multiple Multiplayer Modes; Customization Options where players can tweak matches and play with bots; Enhanced Graphics in Black Edition,PEGI 16,"Unreal Tournament 3: Black Edition is a fast-paced multiplayer FPS with various game modes, futuristic weapons, and vehicle combat, set in sci-fi arenas.","Highly competitive, fast-paced arena shooter with strong multiplayer emphasis",Epic Games,"Midway Games, Epic Games"
SimCity,Simulation,City-Building,"City Planning Mechanics like manage zoning, traffic, and public services; Resource Management including balancing budgets and allocating resources; Real-Time Simulation where cities evolve based on player decisions; Natural disasters can strike, affecting the city; Multiplayer Mode where players collaborate or compete with others in building cities.","Strategic Decision-Making for long-term planning and resource management; Dynamic City Growth where cities expand and change based on player actions; Environmental cognizance as players must consider pollution and other environmental factors; Real-world Community Dynamics includes interactions between residential, commercial, and industrial zones","Realistic Cityscapes with detailed visual representation of urban development; Visuals for city destruction from disasters like fires, floods, and alien invasions showcasing crisis management; Sound Design representing evolving soundtracks that reflect the growing city; Vibrant, dynamic cities feel alive as they evolve over time.",Multiplayer Integration allows multiple cities in a shared world; New GlassBox Engine enhanced simulation for more realistic city building; Constant online requirement,PEGI 7,"SimCity is a city-building simulation game where players manage every aspect of creating and growing a city, from zoning and resource management to handling natural disasters.","Deep city management mechanics, environmental challenges, and dynamic city growth.",Maxis,Electronic Arts
GTA 5 (Grand Theft Auto V),Action-Adventure,Open-World,"Open-World Exploration where players can freely explore Los Santos and its surroundings; Can switch between Multiple Playable Characters with unique skills; Heist Missions with large-scale, multi-part missions focused on planning and execution; Vehicle Variety; Wide range of weaponry including firearms, melee weapons, and explosives",Non-Linear Gameplay where players complete missions in various ways or engage in free-roaming activities; Character Progression where players develop skills through experience; Dynamic AI where NPCs react realistically to player actions; Online Multiplayer,"Detailed Urban Environment of Los Santos, meticulously crafted to feel like a real city; Immersive Soundtrack; Highly Cinematic Presentation with Cinematic camera angles and mission cutscenes; Realistic Physics and Graphics with high level of detail in vehicle handling, explosions, and character animations.",Extensive Modding Community with Large support for player-created mods; First-Person Mode also available; Highly Controversial and known for its mature themes and violence.,PEGI 18,"GTA V is an open-world action-adventure game where players control three criminals, engaging in heists, missions, and free-roam activities in the fictional city of Los Santos.","Vast, immersive open-world with complex characters and heist-based missions",Rockstar North,Rockstar Games
Borderlands 2,RPG,Loot Shooter; Action,"First-Person Shooting with gunplay with a wide variety of procedurally generated weapons; Loot System where player collect weapons, shields, and items; Four distinct classes, each with unique abilities; Skill Trees for Deep character progression; Cooperative Multiplayer",Fast-Paced Action with High-energy gunfights with a focus on chaos and mayhem; Character Progression where players customize playstyles via skill trees; Cooperative Play to establish synergy between player abilities in multiplayer; Loot Grinding for constant search for better gear fuels replayability,"Cel-Shaded Graphics; Unique visual style sets it apart from other FPS games; Humorous Tone; Vibrant, Post-Apocalyptic Setting; Memorable Characters include iconic NPCs like Claptrap and Handsome Jack.",Procedurally Generated Weapons; Expansion Content where (downloadable content) DLC expands the story and adds new characters; Split-Screen Co-op,PEGI 18,"Borderlands 2 is a first-person loot shooter with a unique art style, offering chaotic gunfights, character progression, and a humorous story set in a post-apocalyptic world.",Cooperative gameplay; procedural weapon generation; character progression through skill trees.,Gearbox Software,2K Games
Portal 2,Puzzle-Platformer,First-Person Puzzle,"Use the portal gun to create linked portals to solve puzzles; Physics-Based Mechanics to leverage momentum and gravity for puzzle-solving; Co-op Mode; Environmental Puzzles; Switching Mechanics involves cubes, switches, and other items to solve puzzles",Encourages players to coordinate with a partner to solve challenges;  Progressive Puzzle Difficulty; Players must experiment with portal placements and environmental elements; Exploration where players are encouraged to explore the facility.,"Minimalist Aesthetic with clean, sterile environments of Aperture Labs contrast with darker, decrepit areas; Humorous Tone; Clean UI; Atmospheric, with playful yet eerie tracks.",Co-op Multiplayer; Narrative-Driven as it promotes deeper lore expansion about Aperture Science; Diverse puzzles leveraging physics and portals.,PEGI 12,"Portal 2 is a first-person puzzle game where players solve physics-based puzzles using a portal gun, navigating through the enigmatic Aperture Science labs.","Highly inventive puzzle mechanics using portals and physics, combined with cooperative gameplay and dark humor.",Valve Corporation,Valve Corporation
Lara Croft and the Guardian of Light,Action-Adventure,Isometric Puzzle,Isometric Camera with fixed-angle view for combat and platforming; Puzzle Solving with environment-based puzzles; Dual Character Mechanic involving two characters with complementary abilities; Platforming where players are required to do precision jumping and timing; Fast-paced combat with weapons,"Co-op Dynamic where players can play as Lara or Totec, combining abilities to solve puzzles; Puzzle Cooperation where players rely on teamwork to progress; Many puzzles are time-sensitive; Exploration: Levels encourage thorough exploration for hidden artifacts",Ancient Ruins Aesthetic with Egyptian and Mayan architecture fills the game’s world; Cinematic Presentation; Environmental Detail; Tomb Raider DNA where iconic Lara Croft adventure elements remain intact,Score-Based Multiplayer where players are encouraged to beat levels as fast as possible for high scores; Weapon and Ability Upgrades where players can find artifacts to upgrade weapons and skills; Diverse Puzzles,PEGI 12,"Lara Croft and the Guardian of Light is an isometric puzzle-action game featuring cooperative gameplay, where Lara and Totec must work together to solve puzzles and defeat enemies.","Cooperative puzzle-solving and platforming mechanics, with a focus on teamwork and exploration.",Crystal Dynamics,"Crystal Dynamics, Square Enix"
Team Fortress 2,FPS,Class-Based Shooter,"Class System with nine distinct classes with unique abilities and roles; Objective-Based Gameplay with modes like Capture the Flag and King of the Hill; Team-Based Strategy with cooperation between roles like Medic, Spy, and Heavy; Fast-Paced Combat; Weapon Variety",Team Synergy where classes work together for strategic advantages; Fast-Paced Action with emphasis on quick decision-making and reflexes; Class Interactions; Competitive Dynamics with constantly evolving strategies based on team composition and map knowledge.,Cartoonish Visual Style; Humorous Tone; Stylized Environments; Unique Soundtrack,Cosmetic Customization where players can collect and wear different hats and outfits; Ongoing Updates; User-Generated Content with strong support for community-made maps and mods.,PEGI 16,"Team Fortress 2 is a class-based, team-oriented first-person shooter, featuring multiple game modes and dynamic teamwork across nine unique classes.","Iconic class-based shooter with a vibrant, humorous aesthetic and a strong emphasis on teamwork",Valve Corporation,Valve Corporation
"Papers, Please",Puzzle Simulation,Dystopian Puzzle,Document Inspection where players check passports and documents for discrepancies; Moral Choices where players make ethical decisions impacting the game's outcome; Time Management because limited time per day to process as many people as possible; Certain characters and events shift the story; Branching Outcomes as player choices lead to multiple endings,Ethical Dilemmas as players balance duty and personal ethics when deciding who to let through; Resource Management: where managing salary and expenses impacts the player's family; Progression Through Difficulty; Procedural Challenges: like randomized passport entries create variety.,"Minimalist Pixel Art; Bleak Atmosphere including cold, oppressive tones throughout the game; Narrative-Driven as focus on story progression through player actions; Soviet-Era Aesthetic",Procedural Elements include randomized daily events keep gameplay varied; Multiple Endings based on choices made throughout the game; Unique Concept that merges paperwork simulation with narrative-driven mechanics.,PEGI 12,"Papers, Please is a dystopian puzzle game where players control a border agent, inspecting documents and making moral choices in a totalitarian regime.","Tense, morally charged gameplay with a focus on document inspection and narrative outcomes.",Lucas Pope,3909 LLC
World of Warcraft (WoW),MMORPG,Fantasy RPG,"Questing System with thousands of quests scattered across the world; Class and Race Choices include diverse classes (e.g., warrior, mage) and races (e.g., orcs, humans); Dungeons & Raids include group-based PvE content with increasing difficulty; PvP System where players engage in battlegrounds or arenas.","Guild Dynamics where players cooperate in guilds for quests and raids; Open-world exploration across varied landscapes; PvE and PvP Tension creates balance between player combat and environment combat; Progression-Based Systems for leveling, skill upgrades, and gear-based advancement","High-Fantasy World set in Azeroth, featuring rich lore, landscapes, and epic battles; Iconic Soundtrack; Vibrant and Diverse Biomes from icy mountains to tropical jungles; Cinematic Cutscenes where story is told via detailed animations and storytelling",Frequent Updates where new expansions continually evolve the gameplay; Social Gameplay with high emphasis on cooperative gameplay; Character Customization; Wide Player Base as it is one of the most iconic MMORPGs in history with millions of players globally.,PEGI 12,"World of Warcraft is a massive multiplayer online RPG set in the fantasy world of Azeroth. Players take on quests, explore dungeons, and engage in PvP/PvE combat.","Known for deep lore, expansive world, and a strong community-driven gameplay experience.",Blizzard Entertainment,Blizzard Entertainment
