audit_bucket,row_index,paper_id,paper_title,game_id,game_name,mechanic_id,mechanic_name,outcome_canonical,outcome_category,effect_direction,effect_size_raw,p_value,source_quote,is_supported_evidence,edge_weight,review_status,decision,notes
high_weight,3324,paper_194,"Impact of an active educational video game on children’s motivation, science knowledge, and physical activity",g13,not_reported,,not_reported,situational interest (perceived),Psychological,positive,η2 = 0.301,p < 0.01,"Students in the experimental condition perceived a higher level of situational interest than their counterparts in the comparison group (p < 0.01, and η2 = 0.301).",True,0.225,needs_review,,
high_weight,3340,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,Four Step Square Test,postural_balance,,DM: −.74,.48,"We found no signiﬁcant differences between the video game therapy group and the control group in Four Step Square Test (DM: −.74; 95% CI, −2.79 to 1.32; P = .48; I2 = 0%)",True,0.225,needs_review,,
high_weight,3341,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,Timed 25-Foot Walk,postural_balance,,DM: .15,.75,"We found no signiﬁcant differences between the video game therapy group and the control group in ... Timed 25-Foot Walk scores (DM: .15; 95% CI, −1.06 to .76; P = .75; I2 = 0%)",True,0.225,needs_review,,
high_weight,3342,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,Berg Balance Scale (BBS),postural_balance,positive,DM: 5.30,< .001,"We did observe intergroup differences in BBS scores in favour of video game therapy (DM: 5.30; 95% CI,3.39—7.21; P < .001; I2 = 0%), but these were not greater than the minimum detectable change reported in the literature.",True,0.225,needs_review,,
high_weight,3343,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,clinical_significance_relative_to_minimum_detectable_change,postural_balance_interpretation,,not greater than the minimum detectable change reported in the literature,not_reported,but these were not greater than the minimum detectable change reported in the literature.,True,0.225,needs_review,,
high_weight,3344,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,Four Step Square Test,postural_balance,,DM: −.74,.48,"We found no signiﬁcant differences between the video game therapy group and the control group in Four Step Square Test (DM: −.74; 95% CI, −2.79 to 1.32; P = .48; I2 = 0%)",True,0.225,needs_review,,
high_weight,3345,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,Timed 25-Foot Walk,postural_balance,,DM: .15,.75,"We found no signiﬁcant differences between the video game therapy group and the control group in ... Timed 25-Foot Walk scores (DM: .15; 95% CI, −1.06 to .76; P = .75; I2 = 0%)",True,0.225,needs_review,,
high_weight,3346,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,Berg Balance Scale (BBS),postural_balance,positive,DM: 5.30,< .001,"We did observe intergroup differences in BBS scores in favour of video game therapy (DM: 5.30; 95% CI,3.39—7.21; P < .001; I2 = 0%), but these were not greater than the minimum detectable change reported in the literature.",True,0.225,needs_review,,
high_weight,3347,paper_196,Use of commercial video games to improve postural balance in patients with multiple sclerosis: A systematic review and meta-analysis of randomised controlled clinical trials,,,,not_reported,clinical_significance_relative_to_minimum_detectable_change,postural_balance_interpretation,,not greater than the minimum detectable change reported in the literature,not_reported,but these were not greater than the minimum detectable change reported in the literature.,True,0.225,needs_review,,
high_weight,3995,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g299,X-Box 360 Kinect,m004,Gesture Input,Community Balance and Mobility Scale (CB&M),Balance/Mobility,positive,not_reported,not_reported,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05). Selective attention improved significantly in the VGT group (p < 0.01).",True,0.225,needs_review,,
high_weight,3996,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g299,X-Box 360 Kinect,m013,Sports Simulation,Community Balance and Mobility Scale (CB&M),Balance/Mobility,positive,not_reported,not_reported,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05). Selective attention improved significantly in the VGT group (p < 0.01).",True,0.225,needs_review,,
high_weight,3997,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g299,X-Box 360 Kinect,m002,Movement Control,Community Balance and Mobility Scale (CB&M),Balance/Mobility,positive,not_reported,not_reported,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05). Selective attention improved significantly in the VGT group (p < 0.01).",True,0.225,needs_review,,
high_weight,3998,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g299,X-Box 360 Kinect,m004,Gesture Input,Unified Balance Scale (UBS),Balance/Mobility,positive,not_reported,<0.05,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05).",True,0.225,needs_review,,
high_weight,3999,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g299,X-Box 360 Kinect,m013,Sports Simulation,Unified Balance Scale (UBS),Balance/Mobility,positive,not_reported,<0.05,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05).",True,0.225,needs_review,,
high_weight,4000,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g299,X-Box 360 Kinect,m002,Movement Control,Unified Balance Scale (UBS),Balance/Mobility,positive,not_reported,<0.05,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05).",True,0.225,needs_review,,
high_weight,4001,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g299,X-Box 360 Kinect,m004,Gesture Input,Timed Up and Go (TUG),Mobility/Functional mobility,positive,not_reported,<0.05,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05).",True,0.225,needs_review,,
high_weight,4015,paper_257,Open Access The effects of video game therapy on balance and attention in chronic ambulatory traumatic brain injury: an exploratory study,g300,Kinect Adventures,m002,Movement Control,Unified Balance Scale (UBS),Balance/Mobility,positive,not_reported,<0.05,"Both groups improved in CB&M scores, but only the VGT group increased on the UBS and TUG with a between-group significance (p < 0.05).",True,0.225,needs_review,,
high_weight,4768,paper_288,Active video games: the mediating effect of aerobic fitness on body composition,g349,Sport,,not_reported,Body mass index (BMI) change from baseline at 24 weeks,physiological,positive,"Observed difference between groups reduced from -0.3265 (p = 0.01) to -0.2992 (p = 0.02) when aerobic fitness was included (approximately 8% reduction in treatment effect). Table shows difference in means -0.33 (SE 0.12), 95% CI -0.57 to -0.08.",p = 0.01 (before mediation); p = 0.02 (after mediation),"For change in BMI, the observed difference between the two treatment groups reduced from −0.3265 (p = 0.01) to −0.2992 (p = 0.02), or approximately 8% when aerobic fitness was included.",True,0.225,needs_review,,
high_weight,4769,paper_288,Active video games: the mediating effect of aerobic fitness on body composition,g349,Sport,,not_reported,Percentage body fat change from baseline at 24 weeks,physiological,positive,"Observed group difference shifted from -0.291 (p = 0.02) to -0.4136 (p = 0.03) when aerobic fitness was included (approximately 50% change in treatment effect). Table shows difference in means -0.83 (SE 0.36), 95% CI -1.54 to -0.12.",p = 0.02 (before mediation); p = 0.03 (after mediation),"For percentage body fat, the observed group difference shifted from −0.291 (p = 0.02) to −0.4136 (p = 0.03), or approximately 50%.",True,0.225,needs_review,,
high_weight,4770,paper_288,Active video games: the mediating effect of aerobic fitness on body composition,g349,Sport,,not_reported,aerobic fitness (VO2Max) measured at 24 weeks,physiological,positive,"Table reports change values (e.g., difference in means approx -0.30 in the VO2Max row of Table 1) and mediation analysis indicates aerobic fitness at 24 weeks met mediation criteria and was a significant mediator.",p < 0.0001 (mediator significance),"Only aerobic fitness at 24 weeks met the conditions for mediation, and was a significant mediator of all treatment outcomes (p < 0.0001) evaluated in the above models.",True,0.225,needs_review,,
high_weight,4774,paper_288,Active video games: the mediating effect of aerobic fitness on body composition,g350,Dance Factory,,not_reported,Percentage body fat change from baseline at 24 weeks,physiological,positive,"Observed group difference shifted from -0.291 (p = 0.02) to -0.4136 (p = 0.03) when aerobic fitness was included (approximately 50% change in treatment effect). Table shows difference in means -0.83 (SE 0.36), 95% CI -1.54 to -0.12.",p = 0.02 (before mediation); p = 0.03 (after mediation),"For percentage body fat, the observed group difference shifted from −0.291 (p = 0.02) to −0.4136 (p = 0.03), or approximately 50%.",True,0.225,needs_review,,
high_weight,4775,paper_288,Active video games: the mediating effect of aerobic fitness on body composition,g350,Dance Factory,,not_reported,aerobic fitness (VO2Max) measured at 24 weeks,physiological,positive,"Table reports change values (e.g., difference in means approx -0.30 in the VO2Max row of Table 1) and mediation analysis indicates aerobic fitness at 24 weeks met mediation criteria and was a significant mediator.",p < 0.0001 (mediator significance),"Only aerobic fitness at 24 weeks met the conditions for mediation, and was a significant mediator of all treatment outcomes (p < 0.0001) evaluated in the above models.",True,0.225,needs_review,,
high_weight,4778,paper_288,Active video games: the mediating effect of aerobic fitness on body composition,,,,not_reported,Body mass index (BMI) change from baseline at 24 weeks,physiological,positive,"Observed difference between groups reduced from -0.3265 (p = 0.01) to -0.2992 (p = 0.02) when aerobic fitness was included (approximately 8% reduction in treatment effect). Table shows difference in means -0.33 (SE 0.12), 95% CI -0.57 to -0.08.",p = 0.01 (before mediation); p = 0.02 (after mediation),"For change in BMI, the observed difference between the two treatment groups reduced from −0.3265 (p = 0.01) to −0.2992 (p = 0.02), or approximately 8% when aerobic fitness was included.",True,0.225,needs_review,,
high_weight,4780,paper_288,Active video games: the mediating effect of aerobic fitness on body composition,,,,not_reported,aerobic fitness (VO2Max) measured at 24 weeks,physiological,positive,"Table reports change values (e.g., difference in means approx -0.30 in the VO2Max row of Table 1) and mediation analysis indicates aerobic fitness at 24 weeks met mediation criteria and was a significant mediator.",p < 0.0001 (mediator significance),"Only aerobic fitness at 24 weeks met the conditions for mediation, and was a significant mediator of all treatment outcomes (p < 0.0001) evaluated in the above models.",True,0.225,needs_review,,
high_weight,5068,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g367,shooting video-game,,not_reported,visual perception (breadth/global),Neuro/Cognitive,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5069,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g367,shooting video-game,,not_reported,sensorimotor performance / reduction in sensorimotor disorder measures,Neuro/Cognitive,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5070,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g367,shooting video-game,,not_reported,reading performance / reduction in reading disorder measures,Learning,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5071,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g367,shooting video-game,,not_reported,"correlation between positive emotions (fun) and improvements in visual perception, sensorimotor and reading",Psychological,positive,not_reported,not_reported,"Visual perception, sensorimotor and reading improvements correlated with fun.",True,0.225,needs_review,,
high_weight,5072,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g368,puzzle video-game,m016,Puzzle Solving,visual perception (breadth/global),Neuro/Cognitive,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5073,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g368,puzzle video-game,m011,Targeting,visual perception (breadth/global),Neuro/Cognitive,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5074,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g368,puzzle video-game,m016,Puzzle Solving,sensorimotor performance / reduction in sensorimotor disorder measures,Neuro/Cognitive,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5076,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g368,puzzle video-game,m016,Puzzle Solving,reading performance / reduction in reading disorder measures,Learning,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5077,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g368,puzzle video-game,m011,Targeting,reading performance / reduction in reading disorder measures,Learning,positive,not_reported,not_reported,The funnier and more activating game enhanced breadth of visual perception and reduced sensorimotor and reading disorders.,True,0.225,needs_review,,
high_weight,5078,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g368,puzzle video-game,m016,Puzzle Solving,"correlation between positive emotions (fun) and improvements in visual perception, sensorimotor and reading",Psychological,positive,not_reported,not_reported,"Visual perception, sensorimotor and reading improvements correlated with fun.",True,0.225,needs_review,,
high_weight,5079,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g368,puzzle video-game,m011,Targeting,"correlation between positive emotions (fun) and improvements in visual perception, sensorimotor and reading",Psychological,positive,not_reported,not_reported,"Visual perception, sensorimotor and reading improvements correlated with fun.",True,0.225,needs_review,,
high_weight,5080,paper_302,Short‑Term Effects of Video‑Games on Cognitive Enhancement:,g367,shooting video-game,,not_reported,contextual reading (reading in context) improvement correlated with changes in positive emotions,Neuro/Cognitive,positive,not_reported,not_reported,"regardless of game characteristics, changes in positive emotions correlated with contextual reading enhancement",True,0.225,needs_review,,
needs_review_random,78,paper_001,Activity and Energy Expenditure in Older People Playing Active Video Games,g07,Kinect Sports bowling,m013,Sports Simulation,"correlation(energy expenditure/activity counts, balance status)",Physiological,,no significant correlations reported,not_reported (stated as no significant correlations),No signiﬁcant correlations were observed between energy expenditure or activity counts and balance status.,True,0.1575,needs_review,,
needs_review_random,145,paper_001,Activity and Energy Expenditure in Older People Playing Active Video Games,g03,Wii boxing,m013,Sports Simulation,energy expenditure (METs; kJ/min),Physiological,positive,ranged from 1.46±.41 METs to 2.97±1.16 METs,≤.01,Mean β SD energy expenditure was signiﬁcantly greater for all game conditions compared with rest (all P≤.01) and ranged from 1.46±.41 METs to 2.97±1.16 METs.,True,0.1575,needs_review,,
needs_review_random,149,paper_001,Activity and Energy Expenditure in Older People Playing Active Video Games,g03,Wii boxing,m002,Movement Control,activity counts (accelerometer-derived),Physiological,,no significant difference reported between equivalent games played while standing and seated,not_reported (stated as no significant difference),"There was no signiﬁcant difference in energy expenditure, activity counts, or perceived exertion between equivalent games played while standing and seated.",True,0.1575,needs_review,,
needs_review_random,213,paper_001,Activity and Energy Expenditure in Older People Playing Active Video Games,g09,Kinect Sports table tennis,m002,Movement Control,activity counts (accelerometer-derived),Physiological,,no significant difference reported between equivalent games played while standing and seated,not_reported (stated as no significant difference),"There was no signiﬁcant difference in energy expenditure, activity counts, or perceived exertion between equivalent games played while standing and seated.",True,0.1575,needs_review,,
needs_review_random,358,paper_007,Effects of violent video games on players’ and observers’ aggressive cognitions and aggressive behaviors,g22,Tetris,,not_reported,aggressive cognitions,Psychological,positive,,,"""each participant completed a lexical decision task and a competitive reaction time task to measure their aggressive cognitions and behaviors.""",True,0.135,needs_review,,
needs_review_random,473,paper_010,The effects of sexualized video game characters and character personalization on women's self-objectification and body satisfaction☆,g30,The Sims 4,,not_reported,body satisfaction,psychological,,not_reported,not_reported,The current study did not find evidence for the proposed hypotheses.,True,0.0225,needs_review,,
needs_review_random,741,paper_025,Moderating effects of visual attention and action video game play on perceptual learning with the texture discrimination task,g40,action video games,m011,Targeting,Association between action video game play and TDT outcomes,Experience effect / Behavioral,mixed,,,"On the other hand, self-report of action video game play only inconsistently related performance, learning or transfer on the TDT.",True,0.0945,needs_review,,
needs_review_random,757,paper_025,Moderating effects of visual attention and action video game play on perceptual learning with the texture discrimination task,,,,not_reported,Association between action video game play and TDT outcomes,Experience effect / Behavioral,mixed,,,"On the other hand, self-report of action video game play only inconsistently related performance, learning or transfer on the TDT.",True,0.0945,needs_review,,
needs_review_random,766,paper_025,Moderating effects of visual attention and action video game play on perceptual learning with the texture discrimination task,g40,action video games,m002,Movement Control,Perceptual learning (improvement on TDT over training),Learning / Perceptual performance,positive,,,"We examined baseline performance on the TDT, learning on the initially trained TDT stimuli and transfer to a subsequently trained background orientation.",True,0.0945,needs_review,,
needs_review_random,960,paper_030,Establishing user requirements: incorporating gamer preferences into interactive games design,g47,rally games,,not_reported,preference weight,preference_ranking,not_reported,not_reported,not_reported,"The software enables a predetermined list of items to be prioritised by requiring respondents to indicate, on a 7-point scale, the level of importance they assign to each item when compared to other items. By pairing each item three times with a different item, sufficient information can be obtained to establish a global weight for each, a weight which equates to its relative importance within the list.",False,0.0,needs_review,,
needs_review_random,1107,paper_038,Intelligence and video games: Beyond “brain-games”,g80,iPad,,not_reported,"correlations between gaming performance and (a) fluid reasoning, (b) visuospatial ability, (c) processing speed",correlational association,positive,,,"Gaming performance was correlated with standard measures of fluid reasoning, visuospatial ability, and processing speed.",True,0.0473,needs_review,,
needs_review_random,1166,paper_042,Enriching hippocampal memory function in older adults through video games,g85,Solitaire,,not_reported,hippocampal-based memory (interpreted improvement after intervention),Neuro/Cognitive,positive,not_reported,not_reported,"Here, we replicated our previous video game study in healthy older adults, showing that playing video games for four weeks can improve hippocampal-based memory in a population that is already experiencing age-related decline in memory.",True,0.1687,needs_review,,
needs_review_random,1350,paper_056,High-skilled first-person shooting game players have specific frontal lobe activity: Power spectrum analysis in an electroencephalogram study,g107,Overwatch,,not_reported,task accuracy (hit rate / success rate),behavioral_performance,positive,,,The results showed that high-skilled FPS game players have fast reaction times and high accuracy during tasks.,True,0.054,needs_review,,
needs_review_random,1435,paper_061,Beyond Nintendo: design and assessment of educational video games for ﬁrst and second grade students,g113,experimental video games,,not_reported,motivation,motivation,positive,,,"Teacher reports and classroom observations confirm an improvement in motivation to learn, and a positive technological transfer of the experimental tool.",True,0.1012,needs_review,,
needs_review_random,1962,paper_097,"Social gaming, lonely life? The impact of digital game play on adolescents’ social circles",,,,not_reported,offline social circle size,Social,negative,,,"Increased social online video game play, but not social ofﬂine video game play, was found to correspond with smaller, and lower quality, ofﬂine social circles.",True,0.0473,needs_review,,
needs_review_random,2004,paper_103,Using video game play to improve education-majors’ mathematical performance: An experimental study,g82,Angry Birds,m016,Puzzle Solving,working memory,Neuro/Cognitive,positive,,,"After 10 h of video game practice, both intervention groups significantly improved their mental rotation skills, working memory and geometry performance from pre- to post-test, closely approaching the average cognitive performance of expert AVGers.",True,0.135,needs_review,,
needs_review_random,2012,paper_104,"Emotion, anthropomorphism, realism, control: Validation of a merged metric for playereavatar interaction (PAX)",,,,not_reported,PAX factor stability (emotional investment; anthropomorphic autonomy; suspension of disbelief; sense of player control),psychological,not_reported,,,"These four factors were stable across two large multi-game (N ¼ 494) and game-speciﬁc player samples (N ¼ 458), in both exploratory and conﬁrmatory factor analyses.",False,0.0,needs_review,,
needs_review_random,2019,paper_105,Do World of Warcraft (MMORPG) players experience less loneliness and social anxiety in online world (virtual environment) than in real world (ofﬂine)?,g153,World of Warcraft (WoW),,not_reported,social anxiety,Psychological,negative,,,The present study verified differences in experiencing ... social anxiety (Social Phobia Inventory) in WoW players in online and real world (ofﬂine) ... it was found that players experience a significantly lower degree of ... social anxiety in online than in real world.,True,0.0608,needs_review,,
needs_review_random,2134,paper_116,Identity formation in adolescent and emerging adult regular players of massively multiplayer online role-playing games (MMORPG),g137,MMORPG,,not_reported,Reconsideration of commitment (identity process),Psychological,positive,not_reported,not_reported,"A multivariate analysis of variance evidenced that controls were higher on commitment and in-depth exploration, whereas players were higher on reconsideration of commitment and internet addiction.",True,0.09,needs_review,,
needs_review_random,2386,paper_135,"Winning isn’t everything: The impact of optimally challenging smartphone games on flow, game preference and individuals gaming to escape aversive bored states",g169,optimally challenging games,,not_reported,positive affect during gameplay,affect,positive,,,"During gameplay, those who game to escape boredom demonstrated heightened flow and positive affect compared to non-escape players.",True,0.054,needs_review,,
needs_review_random,2409,paper_136,"Background: ESports has evolved into a hyper-competitive genre of video gaming. Emerging evidence has linked its intense engagement with mental health problems, with implications on youth development. We aim to summarise the impact of eSports and online video gaming on lifestyle outcomes",,,,not_reported,sedentary behaviour (increased),physical_activity,negative,not_reported,not_reported,"Results: We identified 3694 studies, 36 of which met the inclusion criteria. The studies reported associations between online video gaming (including eSports participation and consumption) and poor lifestyle outcomes: physical activity-related (decreased levels of physical activity, increased body mass index (BMI) and sedentary behaviour)nutrition-related (poorer diet, sweetened beverage consumption) and sleep-related outcomes (decreased quality/duration, increased sleepiness/sleep deprivation). One study investigated physical lifestyle- related outcomes (eye strain, wrist pain, neck pain) Results indicate a widening breadth of research investigating associations between lifestyle outcomes and online video gaming.",True,0.0225,needs_review,,
needs_review_random,2498,paper_141,Enhanced disengagement of auditory attention and phonological skills in action video gamers,,,,not_reported,correlation: attentional disengagement with phonological and reading skills,associative_relation,positive,not_reported,not_reported,"Moreover, the beneficial effects of AVGs, as measured by faster attentional disengagement, were linked to better phonological and reading skills in adult AVG players.",True,0.09,needs_review,,
needs_review_random,2508,paper_142,Effects of reward and punishment in prosocial video games on attentional bias and prosocial behaviors,g13,not_reported,,not_reported,prosocial behavior,Behavioral,positive,not_reported,not_reported,"We tested the effects of reward and punishment on players’ post-game attentional bias toward prosocial information measured by the spatial cueing task and their prosocial behaviors measured by the maze selection task. ... We hypothesized that compared to the no-feedback condition, the feedback conditions, both reward and punishment, would be associated with greater post-game attentional bias toward prosocial information and more prosocial behaviors.",True,0.0225,needs_review,,
needs_review_random,2536,paper_147,Theory of consumption value: A lens to examine the use and continual use intention of online game subscription services,g180,Microsoft’s Xbox Game Pass,,not_reported,Variety preference contribution to perceived values,Psychological,positive,not_reported,not_reported,"For both subscribers and non-subscribers, variety preference positively contributes to numerous value types.",True,0.0788,needs_review,,
needs_review_random,2607,paper_153,Neuron NeuroView Video Games for Neuro-Cognitive Optimization,g184,singletasking version of the same game,,not_reported,increased midline frontal theta activity (EEG),Neuro/Cognitive,positive,,,"Game play also resulted in enhanced midline frontal theta activity—an electroencephalography (EEG)-based marker of cognitive control (Cavanagh and Frank, 2014)—which correlated with observed cognitive gains.",True,0.0135,needs_review,,
needs_review_random,2643,paper_158,Digital game-based spelling intervention for children with spelling deficits: A randomized controlled trial,,,,not_reported,usability (self/parent report),self_report,positive,not_reported,not_reported,Participants and their parents also reported high levels of satisfaction with and usability of the intervention.,True,0.225,needs_review,,
needs_review_random,2697,paper_162,Self-reported playing preferences resonate with emotion-related physiological reactions during playing and watching of first-person shooter videogames,g146,first-person shooter,m002,Movement Control,corrugator supercilii EMG,physiological,positive,,,"Playing evoked overall higher corrugator supercilii activity than watching in both groups. The group that liked the game dynamics showed a steep EMG increase in the activity of the corrugator supercilii, whereas the group that disliked the game dynamics showed less EMG increase.",True,0.1012,needs_review,,
needs_review_random,2869,paper_170,Active video games as an exercise tool for children with cystic ﬁbrosis,g01,Nintendo Wii,,not_reported,heart rate (HR),Physiological,not_reported,not_reported,not_reported,"Oxygen consumption, metabolic equivalents (METs) calculated from resting ˙VO2, and heart rate were measured while playing Nintendo Wii™... using a portable indirect calorimeter (Oxycon Mobile).",False,0.0,needs_review,,
