item_type,item_id,field,old_value,row_count,paper_count,supported_count,example_papers,example_titles,new_value,decision,notes
mechanic,Perspective Taking,mechanic_name,Perspective Taking,26,3,22,paper_011 | paper_071 | paper_296,Gaming for peace: Virtual contact through cooperative video gaming increases children's intergroup tolerance in the context of the Israeli–Palestinian conflict | Video games can develop graduate skills in higher education students: A randomised trial | Open Access Game-based learning and gamification in initial teacher training in the social sciences: an experiment with MinecraftEdu,,,
mechanic,Bomb Defusal,mechanic_name,Bomb Defusal,9,3,9,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
mechanic,Bomb Planting,mechanic_name,Bomb Planting,9,3,9,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
mechanic,Hostage Rescue,mechanic_name,Hostage Rescue,9,3,9,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
mechanic,Inventory Management,mechanic_name,Inventory Management,9,3,9,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
mechanic,Round-Based Play,mechanic_name,Round-Based Play,9,3,9,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
mechanic,Team-Based Objectives,mechanic_name,Team-Based Objectives,9,3,9,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
mechanic,Weapon Purchasing,mechanic_name,Weapon Purchasing,9,3,9,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
mechanic,Level Progression,mechanic_name,Level Progression,4,1,2,paper_069,Effects of commercial video games on cognitive elaboration of physical concepts,,,
mechanic,Physics Interaction,mechanic_name,Physics Interaction,4,1,2,paper_069,Effects of commercial video games on cognitive elaboration of physical concepts,,,
mechanic,Rope Cutting,mechanic_name,Rope Cutting,4,1,2,paper_069,Effects of commercial video games on cognitive elaboration of physical concepts,,,
mechanic,Star Collection,mechanic_name,Star Collection,4,1,2,paper_069,Effects of commercial video games on cognitive elaboration of physical concepts,,,
mechanic,Timing,mechanic_name,Timing,4,1,2,paper_069,Effects of commercial video games on cognitive elaboration of physical concepts,,,
mechanic,Tool Use,mechanic_name,Tool Use,4,1,2,paper_069,Effects of commercial video games on cognitive elaboration of physical concepts,,,
